# baseline_head	1ad1b8d0cd593ff0b7a3b5bf3fa3ec92df5e9cb3
# ruff_version	0.16.1
# raw_findings	63
# groups	62
# raw_by_code	C901=63
# outside_groups	F401=1
Group	Rules	Directives	Raw by code	Member raw finding(s)	Disposition	Lifetime/task	Protected invariant and proof	Rejected alternative
RUFF-SUP-001	C901	1	C901=1	.github/scripts/release_publication.py::read_publication [18]	P1	T5 temporary	Strict manifest schema, local-byte identity, allowlist, symlink and digest timing; release-publication adversarial and cross-tool bundle tests	Shared import dependency on local release tooling
RUFF-SUP-002	C901	1	C901=1	.github/scripts/release_publication.py::pypi_release_files [11]	P3	permanent	One external-boundary request/404/identity/filename/digest parser; PyPI HTTP and malformed-response tests	Generic fetch/response layer before a second real caller exists
RUFF-SUP-003	C901	1	C901=1	bin/check-dom15-fixtures::check [12]	P3	permanent	One enumerable fixture-table audit with a mutation probe per rule; checker self-test and live gate	General Markdown policy engine
RUFF-SUP-004	C901	1	C901=1	bin/check-plan-status-index::parse_rows [14]	P3	permanent	Fail-closed parser for one section/table grammar; malformed/status/exemplar/self-application tests	General Markdown parser or partial-row acceptance
RUFF-SUP-005	C901	1	C901=1	bin/check-plan-status-index::self_test [12]	P3	permanent	Bounded installed-tool mutation smoke over the closed vocabulary; direct self-test plus pytest matrix	Mini test framework inside the executable
RUFF-SUP-006	C901	1	C901=1	bin/coalesce-check::main [14]	P2	T5 temporary	Foreign/local-only claims remain informational and broken cues fail; characterization fixtures plus live checker	Merging classification and output into a generic evidence framework
RUFF-SUP-007	C901	1	C901=1	bin/release-artifact.py::verify_bundle [18]	P1	T5 temporary	Validation and optional-copy order preserve physical-file identity; bundle success, tag-family and every-contract tests	Cross-module verifier framework or reordered copy-before-proof flow
RUFF-SUP-008	C901	1	C901=1	bin/release.py::plan_tag_action [13]	P3	permanent	Explicit fail-closed publication/local/remote tag decision table; plan-tag and conflict tests	Generic rule engine or one helper per branch
RUFF-SUP-009	C901	1	C901=1	bin/release.py::_run_batch_release [21]	P2	T5 temporary	One owner preserves precheck/build/commit/fence/tag/push order and dry-run parity; batch and fence tests	A separate dry-run execution path that can diverge from real planning
RUFF-SUP-010	C901	1	C901=1	bin/release.py::main [12]	P1	T5 temporary	Main retains parsing, settings/check-only gates and batch selection; public rerun, dry-run and settings tests	One flag-heavy runner for both single and batch release
RUFF-SUP-011	C901	1	C901=1	extensions/taut_mcp/taut_mcp/_commands.py::execute_command [29]	P3	permanent	Closed 17-tool allowlist with explicit validation, public-client calls and result semantics; proxy and owner-thread matrices	Handler maps, CLI reflection or generic tool adapters
RUFF-SUP-012	C901	1	C901=1	extensions/taut_mcp/taut_mcp/_commands.py::record_object [11]	P3	permanent	Closed type-discriminated output serializer; exact object and schema tests	Reflection or generic dataclass serialization
RUFF-SUP-013	C901	1	C901=1	extensions/taut_mcp/taut_mcp/_process_reactor.py::ProcessReactor.ensure_workspace [16]	P2	T6 temporary	Creation, secret clearing, candidate publication, deadline and shielded cancellation retain one owner; alias/concurrency/failure/cancel tests	Splitting token or fingerprint cleanup from candidate publication
RUFF-SUP-014	C901	1	C901=1	extensions/taut_mcp/taut_mcp/_process_reactor.py::ProcessReactor._on_resolved [11]	P3	permanent	One alias/candidate/fingerprint/retirement/deadline arbitration transition; routing and concurrent-candidate tests	Predicate helpers that hide terminal-action order
RUFF-SUP-015	C901	1	C901=1	extensions/taut_mcp/taut_mcp/_process_reactor.py::ProcessReactor._drain_events [11]	P3	permanent	Closed event dispatcher with mandatory dead-owner reap; maintenance/fault/detach/identity-loss tests	Visitor or handler registry
RUFF-SUP-016	C901	1	C901=1	extensions/taut_mcp/taut_mcp/_process_reactor.py::ProcessReactor.aclose [15]	P3	permanent	Nonblocking owner for admission close, cancellation, settlement, bounded drain, escalation and clearing; shutdown/deadline/transport tests	Split cleanup owners or event-loop blocking shutdown
RUFF-SUP-017	C901	1	C901=1	extensions/taut_mcp/taut_mcp/_workspace_reactor.py::run_workspace_reactor [54]	P1	T6 temporary	Exactly one child-thread state owner across bootstrap, control, command/cancel, snapshot and cleanup; process-reactor, ownership and live-PG suites	Phase helpers that shuttle most live state or create another owner
